reactive_power,active_power,datetime
2.31E-17,4.77E-17,48:41.1
3.69E-17,7.61E-17,48:42.1
5.50E-17,1.14E-16,48:43.1
8.10E-17,1.67E-16,48:44.1
1.04E-16,2.14E-16,48:45.1
1.19E-16,2.44E-16,48:46.1
1.23E-16,2.54E-16,48:47.1
1.17E-16,2.42E-16,48:48.1
1.05E-16,2.16E-16,48:49.1
8.93E-17,1.84E-16,48:50.1
7.47E-17,1.54E-16,48:51.1
6.39E-17,1.32E-16,48:52.1
5.84E-17,1.20E-16,48:53.1
5.95E-17,1.23E-16,48:54.1
6.81E-17,1.41E-16,48:55.1
8.55E-17,1.76E-16,48:56.1
1.14E-16,2.34E-16,48:57.1
1.54E-16,3.18E-16,48:58.1
2.09E-16,4.32E-16,48:59.1
2.80E-16,5.78E-16,49:00.1
3.68E-16,7.59E-16,49:01.1
4.74E-16,9.78E-16,49:02.1
6.00E-16,1.24E-15,49:03.1
7.52E-16,1.55E-15,49:04.1
9.40E-16,1.94E-15,49:05.1
1.18E-15,2.43E-15,49:06.1
1.49E-15,3.08E-15,49:07.1
1.92E-15,3.96E-15,49:08.1
2.51E-15,5.18E-15,49:09.1
3.35E-15,6.90E-15,49:10.1
4.54E-15,9.37E-15,49:11.1
6.26E-15,1.29E-14,49:12.1
8.77E-15,1.81E-14,49:13.1
1.24E-14,2.57E-14,49:14.1
1.79E-14,3.68E-14,49:15.1
2.59E-14,5.35E-14,49:16.1
3.81E-14,7.86E-14,49:17.1
5.66E-14,1.17E-13,49:18.1
8.50E-14,1.75E-13,49:19.1
1.29E-13,2.67E-13,49:20.1
1.99E-13,4.10E-13,49:21.1
3.10E-13,6.39E-13,49:22.1
4.88E-13,1.01E-12,49:23.1
7.79E-13,1.61E-12,49:24.1
1.26E-12,2.60E-12,49:25.1
2.06E-12,4.24E-12,49:26.1
3.40E-12,7.02E-12,49:27.1
5.70E-12,1.18E-11,49:28.1
9.65E-12,1.99E-11,49:29.1
1.65E-11,3.41E-11,49:30.1
2.87E-11,5.92E-11,49:31.1
5.04E-11,1.04E-10,49:32.1
8.96E-11,1.85E-10,49:33.1
1.61E-10,3.33E-10,49:34.1
2.93E-10,6.06E-10,49:35.1
5.41E-10,1.12E-09,49:36.1
1.01E-09,2.08E-09,49:37.1
1.90E-09,3.93E-09,49:38.1
3.64E-09,7.51E-09,49:39.1
7.03E-09,1.45E-08,49:40.1
1.38E-08,2.84E-08,49:41.1
2.73E-08,5.63E-08,49:42.1
5.46E-08,1.13E-07,49:43.1
1.11E-07,2.29E-07,49:44.1
2.28E-07,4.70E-07,49:45.1
4.73E-07,9.76E-07,49:46.1
9.94E-07,2.05E-06,49:47.1
2.11E-06,4.36E-06,49:48.1
4.55E-06,9.40E-06,49:49.1
9.92E-06,2.05E-05,49:50.1
2.19E-05,4.51E-05,49:51.1
4.87E-05,0.000100656,49:52.1
0.000109789,0.000226902,49:53.1
0.000249455,0.000516459,49:54.1
0.000569361,0.001183531,49:55.1
0.001292587,0.002712125,49:56.1
0.002850594,0.006113709,49:57.1
0.00635791,0.013791104,49:58.1
0.008853666,0.018882405,49:59.1
0.008841749,0.018598532,50:00.1
0.008740356,0.018409211,50:01.1
0.008645939,0.018082328,50:02.1
0.008573054,0.01776618,50:03.1
0.008446558,0.017500171,50:04.1
0.00199352,0.004076943,50:05.1
0.000508392,0.001040966,50:06.1
0.001189313,0.002457532,50:07.1
0.003113197,0.006477934,50:08.1
0.008008609,0.016714761,50:09.1
0.007976589,0.016452398,50:10.1
0.007835134,0.016240513,50:11.1
0.007716516,0.01600772,50:12.1
0.007631522,0.015775157,50:13.1
0.007532446,0.015599948,50:14.1
0.007444922,0.015423662,50:15.1
0.007357101,0.015224668,50:16.1
0.007255773,0.0150221,50:17.1
0.007155774,0.014816092,50:18.1
0.00705944,0.014611022,50:19.1
0.006962389,0.014411656,50:20.1
0.006866438,0.014212845,50:21.1
0.006770892,0.014012965,50:22.1
0.006674282,0.013812914,50:23.1
0.006577584,0.013612155,50:24.1
0.006481048,0.013411225,50:25.1
0.006384423,0.013210737,50:26.1
0.006287917,0.013010355,50:27.1
0.006191471,0.012809976,50:28.1
0.006094946,0.01260962,50:29.1
0.005998405,0.012409207,50:30.1
0.005901863,0.012208766,50:31.1
0.005805299,0.012008361,50:32.1
0.005708741,0.011807966,50:33.1
0.005612181,0.011607587,50:34.1
0.005515612,0.01140722,50:35.1
0.005419036,0.011206859,50:36.1
0.005322453,0.0110065,50:37.1
0.005225861,0.010806154,50:38.1
0.005129264,0.010605813,50:39.1
0.00503266,0.010405484,50:40.1
0.004936049,0.010205161,50:41.1
0.004839432,0.010004849,50:42.1
0.004742809,0.009804543,50:43.1
0.004646177,0.009604248,50:44.1
0.00454954,0.009403959,50:45.1
0.004452895,0.009203681,50:46.1
0.004356245,0.009003408,50:47.1
0.004259587,0.008803148,50:48.1
0.004162922,0.008602892,50:49.1
0.004066251,0.008402648,50:50.1
0.003969573,0.00820241,50:51.1
0.003872888,0.008002182,50:52.1
0.003776197,0.007801962,50:53.1
0.003679499,0.007601751,50:54.1
0.003582794,0.007401548,50:55.1
0.003486082,0.007201354,50:56.1
0.003389365,0.007001167,50:57.1
0.003292638,0.006800991,50:58.1
0.003195908,0.006600821,50:59.1
0.003099168,0.006400661,51:00.1
0.003002424,0.006200508,51:01.1
0.002905672,0.006000366,51:02.1
0.002808912,0.005800232,51:03.1
0.00271213,0.005600125,51:04.1
0.002615345,0.00540002,51:05.1
0.00251853,0.005199958,51:06.1
0.002421687,0.004999929,51:07.1
0.002421632,0.004999924,51:08.1
0.002421847,0.0049997,51:09.1
0.00242162,0.004999983,51:10.1
0.002421632,0.004999963,51:11.1
0.002421736,0.004999854,51:12.1
0.00290545,0.006000166,51:13.1
0.003390975,0.00699886,51:14.1
0.003873281,0.008001332,51:15.1
0.004356821,0.009002245,51:16.1
0.004840855,0.010002744,51:17.1
0.005323397,0.011004932,51:18.1
0.005806414,0.012006507,51:19.1
0.006289482,0.013008096,51:20.1
0.006771889,0.014010468,51:21.1
0.007254371,0.015012746,51:22.1
0.007736781,0.016015153,51:23.1
0.008218815,0.017018,51:24.1
0.008700796,0.018020919,51:25.1
0.009182614,0.019024039,51:26.1
0.009664218,0.020027433,51:27.1
0.010145665,0.021031005,51:28.1
0.010626976,0.02203477,51:29.1
0.011108068,0.023038786,51:30.1
0.011589032,0.024042981,51:31.1
0.012069798,0.025047399,51:32.1
0.012550415,0.026052024,51:33.1
0.013030835,0.027056867,51:34.1
0.013511119,0.028061908,51:35.1
0.013991195,0.029067177,51:36.1
0.014471137,0.030072641,51:37.1
0.01495087,0.031078331,51:38.1
0.013270416,0.027569598,51:39.1
0.01348626,0.028092062,51:40.1
0.013767964,0.028544052,51:41.1
0.01398787,0.029070383,51:42.1
0.014221094,0.029579867,51:43.1
0.014475787,0.030067388,51:44.1
0.014709411,0.030579252,51:45.1
0.014946986,0.031084286,51:46.1
0.015191352,0.031581458,51:47.1
